State,School,Num Applications,In State Application %,Out of State %,Men Application %,Women Application %,Num Matriculants,In State Matriculant %,Out of State Matriculant %,Men Matriculant %,Women Matriculant %,Average GPA,Average MCAT,label
AL,Alabama-Heersink,4696,12,88,45.1,54.9,186,81.7,18.3,47.3,52.7,3.8,509.2,3
AL,South Alabama-Whiddon,1800,28.8,71.2,46.3,53.7,78,93.6,6.4,55.1,44.9,3.83,510,3
AR,Arkansas,2723,13.1,86.9,46.7,53.2,184,93.5,6.5,47.8,52.2,3.81,509,3
AZ,Arizona,7335,10.4,89.6,45.7,54.2,119,86.6,13.4,42.9,57.1,3.74,508,1
AZ,Arizona Phoenix,6344,12.2,87.8,46.5,53.3,120,53.3,46.7,49.2,50.8,3.78,515,3
CA,California,5359,67.6,32.4,43.7,56.1,130,100,0,46.2,53.8,3.65,513,1
CA,California Northstate,4710,66.8,33.2,44.2,55.6,118,94.1,5.9,50.8,49.2,3.7,513,3
CA,Kaiser Permanente-Tyson,8229,49.2,50.8,42.8,57,50,54,46,42,58,3.76,516,3
CA,Loma Linda,6238,41,59,46.6,53.1,176,45.5,54.5,50.6,49.4,3.83,509,3
CA,Southern Cal-Keck,8919,49.2,50.8,44,55.8,186,80.1,19.9,38.7,61.3,3.8,517,3
CA,Stanford,8407,32.7,67.3,47.8,52,90,26.7,73.3,42.2,57.8,3.89,518,0
CA,UC Davis,7847,64.9,35.1,42.5,57.3,133,98.5,1.5,38.3,60.9,3.58,510.52,1
CA,UC Irvine,6695,73.7,26.3,44.6,55.2,114,89.5,10.5,35.1,64.9,3.78,514.5,3
CA,UC Riverside,6266,73.5,26.5,43.4,56.3,81,96.3,3.7,43.2,56.8,3.6,509,1
CA,UC San Diego,8210,59,41,44.3,55.5,140,75.7,24.3,28.6,71.4,3.77,515.11,3
CA,UC San Francisco,9156,45.5,54.5,43.8,56,183,69.9,30.1,41,59,3.87,517,3
CA,UCLA-Geffen,13122,44.5,55.5,43.5,56.3,173,59.5,40.5,38.2,61.8,3.81,516,3
CO,Colorado,10896,6.4,93.6,45.8,54.1,180,52.2,47.8,46.1,53.9,3.82,516,3
CT,Connecticut,4028,11.7,88.3,41.2,58.5,110,66.4,33.6,40,60,3.76,513,3
CT,Quinnipiac-Netter,7429,5.1,94.9,42.9,56.9,94,19.1,80.9,40.4,59.6,3.7,513,2
CT,Yale,6338,3.5,96.5,47.6,52.2,104,5.8,94.2,49,51,3.93,521,0
DC,George Washington,15216,0.4,99.6,41.5,58.4,181,2.8,97.2,48.6,51.4,3.7,512,2
DC,Georgetown,15992,0.4,99.6,42.6,57.3,203,3.4,96.6,49.8,50.2,3.63,512,2
DC,Howard,8962,0.4,99.6,36.5,63.4,123,0.8,99.2,48,52,3.61,507,2
FL,FIU-Wertheim,6749,38.6,61.4,43.5,56.4,120,79.2,20.8,45.8,54.2,3.75,510,3
FL,Florida,5393,45,55,45.4,54.5,135,82.2,17.8,45.2,54.8,3.79,514,3
FL,Florida Atlantic-Schmidt,5108,45.5,54.5,44.8,55.1,72,63.9,36.1,48.6,50,3.79,513,3
FL,Florida State,7081,38.5,61.5,42.6,57.4,120,98.3,1.7,34.2,65.8,3.8,507,1
FL,Miami-Miller,11015,20.7,79.3,46.5,53.3,204,47.5,52.5,45.6,54.4,3.75,514,3
FL,Nova Southeastern-Patel,6239,33.7,66.3,44.6,55.3,51,62.7,37.3,49,51,3.76,512,3
FL,UCF,5520,43.8,56.3,47.1,52.8,120,66.7,33.3,48.3,51.7,3.81,511,3
FL,USF-Morsani,5635,42.5,57.5,46.9,53,177,54.8,45.2,45.8,54.2,3.89,517,0
GA,Emory,12390,7.9,92.1,43.5,56.4,146,27.4,72.6,30.1,69.9,3.7,514,2
GA,MC Georgia Augusta,3563,39.7,60.3,40.6,59.2,264,97.7,2.3,47,53,3.8,512,3
GA,Mercer,1410,99.9,0.1,39.4,60.4,160,100,0,41.9,58.1,3.66,504,1
GA,Morehouse,7095,11.7,88.3,36.3,63.6,125,66.4,33.6,32.8,66.4,3.68,506,1
HI,Hawaii-Burns,2791,7.2,92.8,43,56.9,77,80.5,19.5,42.9,57.1,3.74,512,3
